Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
25         ,4.1008036  ,0.0202634  ,3.6984567  ,0.0164743  ,-0.2956073 ,0.0119385  ,1468.5200000,43.0369221 ,318.4000000,17.9094947 ,68.6800000 ,7.6415531  ,16.2800000 ,3.7363083  ,3.6000000  ,2.2730303  ,0.8400000  ,1.1789826  ,0.1200000  ,0.3316625  ,0.0800000  ,0.2768875  ,
25         ,4.1016223  ,0.0127878  ,3.6975033  ,0.0168785  ,-0.2935294 ,0.0135671  ,1456.9600000,40.9893075 ,312.7200000,15.3093653 ,70.8800000 ,9.1484061  ,15.4000000 ,3.9370039  ,3.4800000  ,1.3266499  ,0.4400000  ,0.5066228  ,0.1200000  ,0.3316625  ,0          ,0          ,
25         ,4.0954516  ,0.0134011  ,3.6979071  ,0.0139487  ,-0.2933902 ,0.0089503  ,1473.9600000,30.8375853 ,314.9600000,15.6030980 ,73.2400000 ,8.9595387  ,16.7200000 ,3.7139377  ,3.5200000  ,1.3880442  ,0.6400000  ,0.8103497  ,0.1200000  ,0.3316625  ,0          ,0          ,
25         ,4.0942563  ,0.0133622  ,3.7055864  ,0.0148138  ,-0.2930418 ,0.0082692  ,1458.5200000,42.3901718 ,320.4400000,19.1704634 ,68.5600000 ,10.0709152 ,15.2800000 ,4.3158622  ,3.3200000  ,1.7253019  ,0.5600000  ,0.7118052  ,0.1200000  ,0.3316625  ,0          ,0          ,
25         ,4.0956047  ,0.0145915  ,3.6957899  ,0.0146902  ,-0.2973864 ,0.0125470  ,1467.4400000,43.2686183 ,315.6800000,13.7043789 ,73.8000000 ,7.6212422  ,15.3200000 ,3.4244221  ,3.7600000  ,1.9209373  ,0.4400000  ,0.6506407  ,0.0800000  ,0.2768875  ,0          ,0          ,
25         ,4.0971840  ,0.0157461  ,3.6993532  ,0.0193239  ,-0.2938744 ,0.0078338  ,1459.8800000,32.1355463 ,317.0800000,19.2352108 ,71.5600000 ,7.5392307  ,15.4800000 ,3.1374087  ,3.0800000  ,1.6563011  ,0.6800000  ,0.6904105  ,0.1600000  ,0.3741657  ,0.0400000  ,0.2000000  ,
25         ,4.0995403  ,0.0172832  ,3.7012491  ,0.0123595  ,-0.2919526 ,0.0097920  ,1471.8400000,32.1009865 ,311.2800000,16.1361912 ,71.2000000 ,9.2195445  ,14.7200000 ,4.6414796  ,3.2800000  ,1.5416441  ,0.7600000  ,0.7234178  ,0.0800000  ,0.2768875  ,0.0800000  ,0.2768875  ,
25         ,4.1032036  ,0.0182689  ,3.7047000  ,0.0142091  ,-0.2921145 ,0.0067925  ,1451.5600000,40.6336068 ,309.6400000,17.3418569 ,72.2800000 ,9.7959175  ,16.2400000 ,4.2059482  ,3.4800000  ,2.4344746  ,0.6400000  ,0.7571878  ,0.1600000  ,0.4725816  ,0          ,0          ,
