Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
10         ,7.0061449  ,0.0189670  ,6.5850345  ,0.0132636  ,-0.3007243 ,0.0089597  ,4435.8000000,50.6442933 ,935.2000000,37.3059423 ,210.4000000,17.5448631 ,48.4000000 ,5.3995885  ,9.0000000  ,2.2607767  ,2.5000000  ,1.8408935  ,0.7000000  ,1.0593499  ,0          ,0          ,0          ,0          ,
20         ,7.0034080  ,0.0114889  ,6.5778515  ,0.0149437  ,-0.3002345 ,0.0093551  ,4426.8000000,53.8991261 ,945.0500000,23.8205462 ,211.2000000,16.7445199 ,44.1500000 ,7.7614093  ,8.0500000  ,3.0170568  ,1.5000000  ,1.2354415  ,0.3500000  ,0.5871429  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,7.0077699  ,0.0179580  ,6.5779864  ,0.0117377  ,-0.2995857 ,0.0064833  ,4423.2000000,56.7289029 ,934.5500000,28.8142417 ,216.5000000,9.7521927  ,48.1000000 ,6.6641223  ,9.5000000  ,3.6778140  ,1.6000000  ,1.2311740  ,0.5500000  ,0.7591547  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,
20         ,7.0070666  ,0.0124666  ,6.5793158  ,0.0138942  ,-0.3029844 ,0.0083447  ,4413.1500000,65.6195374 ,955.6500000,38.8590909 ,208.6000000,13.2760172 ,44.8000000 ,7.4240009  ,9.9500000  ,3.3635038  ,1.6500000  ,1.4244112  ,0.4500000  ,0.5104178  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,7.0059143  ,0.0170612  ,6.5822091  ,0.0155178  ,-0.3013547 ,0.0070128  ,4392.6500000,71.9190151 ,930.9500000,27.0389096 ,211.5000000,15.1674860 ,44.6000000 ,5.3841874  ,8.3000000  ,2.6377822  ,1.5500000  ,1.2343760  ,0.5000000  ,0.6069770  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.9991082  ,0.0108909  ,6.5811546  ,0.0142201  ,-0.3031838 ,0.0065775  ,4420.9000000,50.5484655 ,933.6500000,31.6698013 ,212.1500000,15.2186693 ,46.1000000 ,8.8252031  ,10.4500000 ,2.9819633  ,2.0500000  ,1.3945382  ,0.3500000  ,0.5871429  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,7.0027327  ,0.0126013  ,6.5798907  ,0.0122204  ,-0.2981459 ,0.0075797  ,4433.7500000,44.3275784 ,943.8000000,31.6470669 ,211.5500000,15.2400960 ,46.4000000 ,4.5119724  ,9.4000000  ,2.7984958  ,2.4500000  ,1.4317821  ,0.3000000  ,0.6569467  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,7.0076481  ,0.0122641  ,6.5817922  ,0.0107753  ,-0.3042434 ,0.0146827  ,4432.8000000,66.6258998 ,948.8000000,26.1102924 ,215.2500000,15.7943194 ,47.5500000 ,6.6528585  ,9.1000000  ,3.0590676  ,2.6000000  ,1.2311740  ,0.5500000  ,0.6863327  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,
20         ,7.0017171  ,0.0127224  ,6.5795303  ,0.0162296  ,-0.2975291 ,0.0077335  ,4409.4500000,59.0080057 ,938.8500000,31.3692357 ,204.3000000,19.8098859 ,45.8500000 ,6.8998474  ,9.6500000  ,3.8970299  ,2.0500000  ,1.2343760  ,0.3500000  ,0.4893605  ,0.1000000  ,0.3077935  ,0          ,0          ,
