Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
10         ,4.1637589  ,0.0085793  ,3.7655553  ,0.0144934  ,-0.2906756 ,0.0069163  ,1514.7000000,41.0772984 ,321.4000000,12.9717642 ,69.9000000 ,9.9493160  ,16.7000000 ,5.4375239  ,2.8000000  ,1.4757296  ,0.3000000  ,0.6749486  ,0.0000000  ,0.0000000  ,0.1000000  ,0.3162278  ,
40         ,4.1555658  ,0.0141605  ,3.7577248  ,0.0134650  ,-0.2936582 ,0.0085087  ,1509.4000000,42.6847718 ,322.7250000,12.2725199 ,74.3500000 ,7.9341844  ,16.0250000 ,4.4230602  ,3.9500000  ,2.0374695  ,0.4750000  ,0.7506408  ,0.0750000  ,0.2667468  ,0          ,0          ,
40         ,4.1589583  ,0.0143975  ,3.7598715  ,0.0155752  ,-0.2951154 ,0.0110337  ,1510.2750000,38.1662944 ,319.2250000,23.6290646 ,72.3000000 ,6.2846986  ,16.0750000 ,4.0280268  ,3.3250000  ,1.7597713  ,0.7250000  ,0.8469402  ,0.1250000  ,0.4634043  ,0.0250000  ,0.1581139  ,
10         ,4.1604374  ,0.0111001  ,3.7636490  ,0.0139090  ,-0.2946784 ,0.0102157  ,1507.1000000,36.8403462 ,324.6000000,14.4006173 ,70.4000000 ,5.9479221  ,17.6000000 ,2.8751812  ,4.2000000  ,2.0439613  ,0.9000000  ,0.5676462  ,0.2000000  ,0.4216370  ,0          ,0          ,
25         ,4.1555211  ,0.0146416  ,3.7593411  ,0.0173838  ,-0.2949242 ,0.0088066  ,1506.7600000,24.8902257 ,329.8400000,17.1261983 ,72.3600000 ,7.0762514  ,15.4800000 ,3.0838288  ,2.8800000  ,1.6911535  ,0.7200000  ,0.7916228  ,0.2800000  ,0.5416026  ,0.0400000  ,0.2000000  ,
25         ,4.1509060  ,0.0118758  ,3.7547726  ,0.0172243  ,-0.2972839 ,0.0089805  ,1506.1200000,37.9257169 ,321.8400000,16.0329868 ,72.8000000 ,5.4924190  ,14.7200000 ,3.9845535  ,3.5600000  ,1.6603213  ,0.6400000  ,0.7571878  ,0.1200000  ,0.3316625  ,0          ,0          ,
25         ,4.1519076  ,0.0126556  ,3.7630793  ,0.0140102  ,-0.2963396 ,0.0098409  ,1493.0400000,37.6513391 ,323.8800000,14.8837719 ,74.8000000 ,12.3051480 ,18.0400000 ,3.3847698  ,3.8000000  ,1.5000000  ,0.5600000  ,0.9609024  ,0.0800000  ,0.2768875  ,0.0400000  ,0.2000000  ,
25         ,4.1548865  ,0.0120896  ,3.7582719  ,0.0166397  ,-0.2951493 ,0.0096856  ,1513.7600000,35.7377951 ,317.2000000,17.1099386 ,76.1200000 ,8.1869815  ,15.6800000 ,4.5343136  ,2.3600000  ,1.4685594  ,0.8400000  ,0.8504901  ,0.2000000  ,0.4082483  ,0.0800000  ,0.2768875  ,
