Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
25         ,3.9566592  ,0.0111259  ,3.5658934  ,0.0139389  ,-0.2957686 ,0.0088498  ,1347.6800000,36.3899253 ,294.4000000,13.6534489 ,66.4400000 ,9.7897906  ,15.2800000 ,4.2575423  ,3.1600000  ,1.6753109  ,0.6000000  ,0.8660254  ,0.0800000  ,0.2768875  ,0.0800000  ,0.2768875  ,
25         ,3.9556901  ,0.0109182  ,3.5623645  ,0.0139623  ,-0.2933445 ,0.0089163  ,1357.8800000,30.0531751 ,293.0400000,14.7774603 ,67.1600000 ,8.2040640  ,14.0800000 ,3.9572718  ,3.3200000  ,1.4922020  ,0.4000000  ,0.7071068  ,0.2800000  ,0.5416026  ,0.0800000  ,0.2768875  ,
25         ,3.9548667  ,0.0136942  ,3.5634460  ,0.0191921  ,-0.2932146 ,0.0070582  ,1358.8400000,25.7773803 ,293.4400000,16.1788957 ,64.5600000 ,9.9919968  ,15.9600000 ,3.9102430  ,3.2400000  ,1.7860571  ,0.3600000  ,0.5686241  ,0.0400000  ,0.2000000  ,0.2000000  ,0.4082483  ,
25         ,3.9606751  ,0.0175288  ,3.5696368  ,0.0105160  ,-0.2917800 ,0.0105377  ,1356.3600000,38.7845330 ,294.4800000,17.2170458 ,66.0000000 ,8.5537516  ,14.7600000 ,4.5851209  ,3.5600000  ,1.8726096  ,0.6000000  ,0.6454972  ,0.2000000  ,0.4082483  ,0          ,0          ,
25         ,3.9586099  ,0.0126950  ,3.5628170  ,0.0138791  ,-0.2938799 ,0.0125710  ,1358.4800000,33.3568084 ,289.0800000,14.0621241 ,65.8000000 ,6.0621778  ,15.8800000 ,4.2945702  ,3.1600000  ,2.0752510  ,0.8800000  ,0.9273618  ,0.1600000  ,0.3741657  ,0          ,0          ,
25         ,3.9549936  ,0.0118608  ,3.5612089  ,0.0139524  ,-0.2982133 ,0.0127337  ,1356.5200000,33.3068061 ,296.9200000,14.7674191 ,65.3200000 ,6.6690829  ,14.1200000 ,3.4195516  ,2.8000000  ,1.5000000  ,0.5200000  ,0.8225975  ,0.0800000  ,0.2768875  ,0          ,0          ,
25         ,3.9541725  ,0.0121698  ,3.5580042  ,0.0179073  ,-0.2923138 ,0.0081022  ,1356.9600000,29.3888868 ,290.1600000,22.2011261 ,67.0000000 ,8.1853528  ,14.3200000 ,2.4103942  ,3.1200000  ,1.4236104  ,0.3200000  ,0.5567764  ,0.0800000  ,0.2768875  ,0          ,0          ,
25         ,3.9542480  ,0.0127433  ,3.5558611  ,0.0183930  ,-0.2956438 ,0.0101874  ,1359.2800000,26.1733325 ,291.7200000,21.0584900 ,64.6400000 ,8.2959830  ,14.6800000 ,3.4486712  ,2.9600000  ,1.9680786  ,0.6000000  ,0.7637626  ,0.2000000  ,0.4082483  ,0.0400000  ,0.2000000  ,
