Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,           
30         ,6.3517949  ,0.0159078  ,5.9331705  ,0.0143752  ,-0.3001429 ,0.0110542  ,3607.5000000,55.6198613 ,762.6333333,28.2714469 ,177.9000000,16.7894671 ,36.0333333 ,6.0314311  ,8.4333333  ,3.1037612  ,1.5666667  ,1.4307783  ,0.2666667  ,0.4497764  ,0.1000000  ,0.3051286  ,0          ,0          ,
30         ,6.3467144  ,0.0115261  ,5.9325583  ,0.0128521  ,-0.2998594 ,0.0088697  ,3599.0333333,46.9118640 ,758.3666667,34.3114371 ,179.1000000,18.4191617 ,38.5333333 ,5.2701720  ,8.5000000  ,3.1813031  ,1.1000000  ,0.7588558  ,0.5000000  ,0.7768193  ,0.0333333  ,0.1825742  ,0          ,0          ,
30         ,6.3470108  ,0.0122291  ,5.9290072  ,0.0170102  ,-0.3037129 ,0.0108823  ,3590.3666667,58.5164188 ,767.8333333,28.4120947 ,174.3666667,8.9692322  ,36.2333333 ,4.1744984  ,8.2333333  ,2.9323797  ,1.5000000  ,1.0085838  ,0.2333333  ,0.5040069  ,0.0333333  ,0.1825742  ,0.0333333  ,0.1825742  ,
30         ,6.3488176  ,0.0140718  ,5.9291073  ,0.0170644  ,-0.3009514 ,0.0059814  ,3597.2666667,53.7477719 ,773.7666667,32.9510434 ,173.2666667,12.6216381 ,37.3333333 ,5.4918958  ,7.6666667  ,2.2944210  ,1.2000000  ,1.0954451  ,0.3333333  ,0.4794633  ,0.1000000  ,0.3051286  ,0          ,0          ,
30         ,6.3457278  ,0.0124174  ,5.9312187  ,0.0134717  ,-0.3010143 ,0.0087505  ,3611.8333333,56.1611495 ,765.0666667,21.4088820 ,174.8333333,14.4629928 ,36.9666667 ,6.0428546  ,8.0333333  ,3.3371817  ,1.1000000  ,1.1846722  ,0.4000000  ,0.6214555  ,0.0333333  ,0.1825742  ,0.0333333  ,0.1825742  ,
30         ,6.3467852  ,0.0130539  ,5.9308523  ,0.0140031  ,-0.3001384 ,0.0078695  ,3601.9666667,47.8225768 ,774.8666667,31.5165346 ,176.8000000,13.0579610 ,36.5000000 ,4.8476799  ,8.1666667  ,3.1413080  ,1.5333333  ,1.2521246  ,0.3000000  ,0.5349831  ,0.1000000  ,0.3051286  ,0.0333333  ,0.1825742  ,
30         ,6.3436597  ,0.0127929  ,5.9266192  ,0.0126824  ,-0.3003616 ,0.0086382  ,3619.7333333,53.5942183 ,767.2000000,25.3205654 ,173.0333333,14.1822700 ,39.1666667 ,6.9732659  ,8.2666667  ,2.4202213  ,1.9333333  ,1.4605935  ,0.3333333  ,0.5466723  ,0.0666667  ,0.2537081  ,0          ,0          ,
20         ,6.3521676  ,0.0169094  ,5.9302214  ,0.0092656  ,-0.3016584 ,0.0070440  ,3607.6000000,58.4045780 ,765.8500000,22.8456491 ,173.1000000,18.1540194 ,37.3000000 ,5.5734332  ,8.0500000  ,3.8040837  ,1.6500000  ,1.2680279  ,0.5000000  ,0.6069770  ,0          ,0          ,0          ,0          ,
30         ,6.3551474  ,0.0161361  ,5.9311190  ,0.0166559  ,-0.2979214 ,0.0070908  ,3598.8000000,54.4498504 ,769.5333333,24.4550726 ,172.8000000,13.6619280 ,37.6000000 ,7.2044048  ,8.3000000  ,3.2393060  ,1.5333333  ,1.4319828  ,0.2666667  ,0.5208305  ,0.0666667  ,0.2537081  ,0.0666667  ,0.2537081  ,
