Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
5          ,4.8184481  ,0.0117661  ,4.4238272  ,0.0129312  ,-0.2923013 ,0.0071544  ,2032.8000000,28.1016014 ,430.6000000,17.1697408 ,105.2000000,8.1363382  ,24.2000000 ,5.8906706  ,4.0000000  ,1.0000000  ,0.8000000  ,0.8366600  ,0          ,0          ,0          ,0          ,
15         ,4.8188775  ,0.0165559  ,4.4165937  ,0.0158415  ,-0.2983255 ,0.0102189  ,2062.6000000,42.5487955 ,433.5333333,16.9742101 ,93.4666667 ,7.1899401  ,23.4666667 ,5.1111456  ,5.0000000  ,2.1712406  ,1.4000000  ,1.4540584  ,0.0666667  ,0.2581989  ,0          ,0          ,
10         ,4.8157341  ,0.0146649  ,4.4203390  ,0.0150141  ,-0.2958985 ,0.0100505  ,2041.7000000,37.3275293 ,436.9000000,14.9328125 ,99.0000000 ,9.2135166  ,20.4000000 ,5.1251016  ,4.0000000  ,1.6329932  ,1.4000000  ,1.2649111  ,0.2000000  ,0.4216370  ,0          ,0          ,
20         ,4.8234694  ,0.0123208  ,4.4251418  ,0.0105224  ,-0.2984416 ,0.0102452  ,2037.7500000,38.7934815 ,431.1500000,21.8397874 ,98.7500000 ,9.0255485  ,22.2000000 ,3.4120529  ,4.6500000  ,2.7772573  ,1.0000000  ,1.0760552  ,0.2000000  ,0.5231484  ,0.0500000  ,0.2236068  ,
10         ,4.8246741  ,0.0160001  ,4.4070774  ,0.0151348  ,-0.2969055 ,0.0090594  ,2024.9000000,64.0909943 ,433.6000000,14.2298591 ,100.5000000,9.1681817  ,22.7000000 ,5.1218486  ,5.2000000  ,2.5733679  ,1.0000000  ,0.6666667  ,0.1000000  ,0.3162278  ,0          ,0          ,
10         ,4.8267654  ,0.0213772  ,4.4204065  ,0.0191178  ,-0.2956241 ,0.0096012  ,2039.3000000,70.0111896 ,436.2000000,18.3048263 ,102.0000000,6.5489609  ,22.0000000 ,5.9441848  ,5.2000000  ,2.8205594  ,1.6000000  ,1.0749677  ,0.3000000  ,0.4830459  ,0          ,0          ,
10         ,4.8224521  ,0.0149735  ,4.4181812  ,0.0150046  ,-0.2942377 ,0.0095891  ,2060.6000000,27.4679611 ,431.1000000,27.1884371 ,95.4000000 ,9.8454727  ,21.7000000 ,3.9171985  ,5.1000000  ,1.5951315  ,1.4000000  ,0.9660918  ,0.0000000  ,0.0000000  ,0.1000000  ,0.3162278  ,
10         ,4.8222839  ,0.0163292  ,4.4054516  ,0.0135807  ,-0.2909779 ,0.0091619  ,2026.1000000,51.2628304 ,432.2000000,10.8709603 ,103.3000000,10.1985838 ,21.9000000 ,3.5730473  ,4.3000000  ,1.7669811  ,0.7000000  ,0.6749486  ,0.4000000  ,0.6992059  ,0          ,0          ,
10         ,4.8238992  ,0.0134920  ,4.4136156  ,0.0195150  ,-0.2977900 ,0.0067860  ,2063.5000000,49.5204784 ,438.8000000,12.3989247 ,95.0000000 ,6.2893208  ,20.8000000 ,2.0439613  ,4.3000000  ,1.0593499  ,0.7000000  ,0.6749486  ,0.0000000  ,0.0000000  ,0.1000000  ,0.3162278  ,
20         ,4.8221938  ,0.0135860  ,4.4151967  ,0.0140473  ,-0.2980961 ,0.0081624  ,2034.9500000,32.3101337 ,431.3500000,25.7462823 ,102.7500000,10.9826418 ,22.9500000 ,6.0129247  ,5.0500000  ,2.9464519  ,0.7000000  ,0.9787210  ,0.2000000  ,0.4103913  ,0          ,0          ,
20         ,4.8235524  ,0.0135437  ,4.4150238  ,0.0151823  ,-0.2951842 ,0.0079218  ,2044.8500000,35.1587004 ,439.2000000,22.3856157 ,102.5500000,10.5255329 ,21.3500000 ,4.6484293  ,4.6500000  ,2.7390932  ,0.7500000  ,0.7163504  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,4.8189183  ,0.0124132  ,4.4172438  ,0.0109364  ,-0.2943697 ,0.0065624  ,2065.5500000,37.1334365 ,432.7000000,23.2200005 ,96.5000000 ,10.6301458 ,22.4000000 ,5.3646013  ,4.0000000  ,1.8918106  ,1.0500000  ,1.2763022  ,0.3000000  ,0.4701623  ,0.1000000  ,0.3077935  ,
