Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
10         ,7.0442236  ,0.0108500  ,6.6178587  ,0.0185018  ,-0.2989622 ,0.0080314  ,4461.5000000,59.1274518 ,942.4000000,32.1289070 ,214.3000000,14.4379900 ,46.5000000 ,5.4416092  ,11.2000000 ,3.2591751  ,2.0000000  ,1.2472191  ,0.4000000  ,0.5163978  ,0.1000000  ,0.3162278  ,0          ,0          ,
20         ,7.0465176  ,0.0147381  ,6.6271533  ,0.0138480  ,-0.3056290 ,0.0112219  ,4476.1500000,43.9069291 ,956.2000000,30.6724632 ,215.1000000,12.1087180 ,47.5500000 ,6.0041652  ,9.9000000  ,3.7542958  ,2.4000000  ,1.3917047  ,0.3000000  ,0.5712406  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,7.0441494  ,0.0165275  ,6.6242981  ,0.0104257  ,-0.2994612 ,0.0071873  ,4470.6500000,69.3148993 ,960.4500000,31.1185763 ,207.7000000,15.0056130 ,46.9500000 ,5.6333126  ,9.7000000  ,3.0966875  ,1.0000000  ,1.0259784  ,0.5000000  ,0.6069770  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,7.0417849  ,0.0109909  ,6.6201775  ,0.0114811  ,-0.3042337 ,0.0080761  ,4483.5500000,55.2977348 ,950.3000000,28.8865294 ,220.3000000,10.3114653 ,48.1000000 ,8.2774265  ,9.4000000  ,3.8716242  ,2.6500000  ,1.8715319  ,0.6000000  ,0.7539370  ,0.1500000  ,0.3663475  ,0.1000000  ,0.3077935  ,
20         ,7.0432090  ,0.0123953  ,6.6208148  ,0.0135039  ,-0.3051446 ,0.0087093  ,4479.4000000,58.1734249 ,950.3000000,24.1379806 ,210.9500000,13.1528464 ,46.3000000 ,6.8755861  ,9.7000000  ,3.1805329  ,1.9500000  ,0.8870412  ,0.4500000  ,0.6048053  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,7.0446457  ,0.0147768  ,6.6201821  ,0.0159470  ,-0.3016225 ,0.0101349  ,4466.3500000,61.6255885 ,941.5500000,39.4748088 ,223.2500000,15.0468566 ,46.8000000 ,7.6955216  ,9.1500000  ,2.2070461  ,1.5500000  ,1.3168943  ,0.2500000  ,0.5501196  ,0.1500000  ,0.3663475  ,0.0500000  ,0.2236068  ,
20         ,7.0446231  ,0.0111928  ,6.6202328  ,0.0157110  ,-0.3000777 ,0.0093388  ,4492.6500000,67.1841734 ,954.8000000,24.0363759 ,216.1500000,12.3214618 ,48.1000000 ,7.4685305  ,9.7500000  ,3.2424000  ,2.4500000  ,1.1459310  ,0.4500000  ,0.5104178  ,0          ,0          ,0          ,0          ,
20         ,7.0434006  ,0.0165739  ,6.6241571  ,0.0098494  ,-0.3019431 ,0.0074713  ,4465.8500000,71.7879003 ,950.3500000,23.7714446 ,210.1500000,18.8631498 ,45.2500000 ,4.5983407  ,9.6000000  ,2.3260538  ,1.6000000  ,1.0954451  ,0.4000000  ,0.5026247  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,7.0453667  ,0.0198816  ,6.6193971  ,0.0135688  ,-0.3018958 ,0.0090375  ,4476.9500000,46.5950924 ,952.7500000,31.5125288 ,210.3500000,15.2876799 ,47.4000000 ,7.6667429  ,10.1500000 ,3.0826339  ,2.1000000  ,1.8890265  ,0.2500000  ,0.5501196  ,0          ,0          ,0          ,0          ,
10         ,7.0422834  ,0.0071450  ,6.6263966  ,0.0119677  ,-0.2988510 ,0.0078919  ,4488.3000000,79.4915090 ,943.6000000,30.0266548 ,216.8000000,9.4844903  ,45.0000000 ,3.8005848  ,9.6000000  ,2.3664319  ,2.2000000  ,1.7511901  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,
20         ,7.0455074  ,0.0142824  ,6.6196361  ,0.0124739  ,-0.3031022 ,0.0105286  ,4480.0000000,50.7823011 ,941.0500000,27.7535678 ,212.5500000,12.8040906 ,47.8000000 ,4.9375042  ,10.4500000 ,2.9285348  ,2.4000000  ,1.6026294  ,0.1500000  ,0.3663475  ,0.1000000  ,0.3077935  ,0          ,0          ,
