Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
10         ,7.0896625  ,0.0149967  ,6.6674869  ,0.0095358  ,-0.3057295 ,0.0115198  ,4564.2000000,46.5255008 ,952.8000000,45.1486434 ,222.9000000,16.8420769 ,47.8000000 ,9.8860171  ,10.1000000 ,3.7549967  ,1.8000000  ,1.2292726  ,0.3000000  ,0.4830459  ,0.0000000  ,0.0000000  ,0.1000000  ,0.3162278  ,
20         ,7.0833315  ,0.0100036  ,6.6659642  ,0.0111046  ,-0.3021034 ,0.0073005  ,4544.4500000,56.6480129 ,956.3000000,25.0643383 ,219.6500000,19.4294269 ,50.2000000 ,7.6406117  ,9.7500000  ,2.2682012  ,2.5000000  ,1.4327008  ,0.5000000  ,0.7608859  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,7.0815687  ,0.0086894  ,6.6629059  ,0.0139243  ,-0.3051938 ,0.0125176  ,4532.9000000,70.6986935 ,956.9000000,33.1993976 ,221.4000000,15.2984347 ,45.8500000 ,5.9495688  ,8.9000000  ,2.9181826  ,2.0500000  ,1.8202082  ,0.2500000  ,0.5501196  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,7.0901512  ,0.0105765  ,6.6619827  ,0.0148216  ,-0.3022235 ,0.0070647  ,4532.1000000,50.8453796 ,963.2000000,23.8053510 ,216.3000000,15.5431488 ,47.2000000 ,7.4734618  ,9.6500000  ,4.2460508  ,1.4500000  ,0.8255779  ,0.4500000  ,0.6863327  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,
20         ,7.0809700  ,0.0097070  ,6.6586243  ,0.0121022  ,-0.3022965 ,0.0095177  ,4512.2500000,66.7460821 ,954.8000000,35.9320997 ,219.1500000,16.5887565 ,49.5500000 ,5.4721784  ,9.8000000  ,2.2384205  ,1.7500000  ,1.4823523  ,0.3000000  ,0.5712406  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,7.0826941  ,0.0133405  ,6.6658505  ,0.0143589  ,-0.3018361 ,0.0067373  ,4523.9500000,54.8063337 ,951.3500000,31.5815986 ,216.6500000,14.4487297 ,47.8500000 ,7.4429408  ,9.5500000  ,3.8862104  ,1.8000000  ,1.1964861  ,0.4000000  ,0.6805570  ,0.1500000  ,0.3663475  ,0          ,0          ,
20         ,7.0885443  ,0.0190688  ,6.6643605  ,0.0131383  ,-0.2986687 ,0.0086382  ,4524.2500000,45.7129200 ,967.8000000,25.5458308 ,222.0500000,14.6196515 ,47.8500000 ,6.3018377  ,9.6500000  ,3.9373381  ,2.2500000  ,1.4464112  ,0.2000000  ,0.4103913  ,0.1500000  ,0.4893605  ,0          ,0          ,
20         ,7.0851033  ,0.0120349  ,6.6630005  ,0.0134778  ,-0.2982710 ,0.0049355  ,4530.2500000,43.9615562 ,966.1000000,31.2829195 ,216.1000000,14.6283791 ,51.2000000 ,7.1862442  ,10.8000000 ,2.8022547  ,2.1000000  ,1.2096106  ,0.3500000  ,0.4893605  ,0.1500000  ,0.3663475  ,0          ,0          ,
20         ,7.0890293  ,0.0141326  ,6.6647131  ,0.0122622  ,-0.2996318 ,0.0056044  ,4524.2000000,64.3874784 ,981.2500000,31.4991646 ,220.5000000,13.1128703 ,45.0500000 ,6.4029187  ,10.1000000 ,3.3070897  ,1.9500000  ,1.3168943  ,0.3000000  ,0.5712406  ,0.2000000  ,0.4103913  ,0          ,0          ,
