Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
5          ,4.5690084  ,0.0071388  ,4.1854118  ,0.0044294  ,-0.2895141 ,0.0082323  ,1850.2000000,27.0961252 ,398.2000000,18.9129585 ,87.4000000 ,18.3521116 ,21.0000000 ,4.7434165  ,5.0000000  ,1.0000000  ,0.8000000  ,1.3038405  ,0          ,0          ,0          ,0          ,0          ,0          ,
5          ,4.5841596  ,0.0198429  ,4.1721802  ,0.0121441  ,-0.2950444 ,0.0050394  ,1820.8000000,31.4594978 ,391.8000000,19.3829822 ,94.0000000 ,11.9791486 ,20.2000000 ,5.1672043  ,4.4000000  ,2.3021729  ,0.8000000  ,0.4472136  ,0.2000000  ,0.4472136  ,0          ,0          ,0          ,0          ,
15         ,4.5825080  ,0.0128588  ,4.1805504  ,0.0155100  ,-0.2938928 ,0.0093089  ,1840.1333333,30.4041037 ,399.1333333,14.6914293 ,91.0666667 ,9.6471066  ,20.5333333 ,4.6578147  ,4.0666667  ,2.0862361  ,0.7333333  ,0.8837151  ,0.1333333  ,0.3518658  ,0          ,0          ,0          ,0          ,
10         ,4.5821882  ,0.0138664  ,4.1754893  ,0.0141579  ,-0.2935872 ,0.0067193  ,1842.9000000,37.0538647 ,389.2000000,20.5090766 ,83.6000000 ,9.5125648  ,22.1000000 ,5.1521301  ,4.4000000  ,2.4129281  ,0.8000000  ,0.7888106  ,0.2000000  ,0.4216370  ,0          ,0          ,0          ,0          ,
15         ,4.5746591  ,0.0115909  ,4.1798377  ,0.0163767  ,-0.2923607 ,0.0082949  ,1848.0666667,40.6034247 ,387.6666667,14.1101112 ,91.5333333 ,8.2363885  ,19.4000000 ,3.5415896  ,4.1333333  ,1.2459458  ,0.9333333  ,1.0997835  ,0.2000000  ,0.4140393  ,0          ,0          ,0          ,0          ,
5          ,4.5746849  ,0.0098479  ,4.1807863  ,0.0148710  ,-0.2998218 ,0.0085257  ,1834.2000000,39.5436468 ,397.0000000,31.8433667 ,89.8000000 ,6.2209324  ,17.2000000 ,6.5345237  ,4.8000000  ,2.5884358  ,0.6000000  ,1.3416408  ,0.0000000  ,0.0000000  ,0.2000000  ,0.4472136  ,0          ,0          ,
10         ,4.5705822  ,0.0167077  ,4.1780813  ,0.0171759  ,-0.2985838 ,0.0144251  ,1829.0000000,36.3807031 ,391.8000000,16.0194326 ,84.0000000 ,9.0061707  ,20.7000000 ,4.9676733  ,4.2000000  ,1.3984118  ,0.9000000  ,0.9944289  ,0.2000000  ,0.4216370  ,0.1000000  ,0.3162278  ,0          ,0          ,
20         ,4.5809661  ,0.0140096  ,4.1803923  ,0.0124219  ,-0.2958874 ,0.0128472  ,1848.3000000,27.7376810 ,397.8000000,22.5215686 ,92.0000000 ,9.4757308  ,20.0000000 ,5.2214134  ,4.1000000  ,2.3373399  ,0.8500000  ,0.8750940  ,0.1500000  ,0.3663475  ,0.1000000  ,0.3077935  ,0          ,0          ,
10         ,4.5840836  ,0.0168835  ,4.1808108  ,0.0145475  ,-0.3001561 ,0.0108008  ,1844.4000000,48.6351496 ,402.9000000,18.0705408 ,83.2000000 ,7.1460945  ,21.9000000 ,5.7242176  ,3.3000000  ,2.0575066  ,1.4000000  ,1.0749677  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,
5          ,4.5915883  ,0.0176485  ,4.1738345  ,0.0188449  ,-0.2936653 ,0.0067379  ,1825.6000000,30.4844223 ,396.0000000,17.3060683 ,90.6000000 ,9.5551033  ,20.8000000 ,3.4205263  ,3.0000000  ,2.4494897  ,0.8000000  ,0.8366600  ,0.0000000  ,0.0000000  ,0.2000000  ,0.4472136  ,0          ,0          ,
20         ,4.5780800  ,0.0128243  ,4.1828188  ,0.0130446  ,-0.2994663 ,0.0098850  ,1837.2000000,35.6881227 ,390.5000000,16.7944226 ,89.7000000 ,9.3532994  ,19.2000000 ,3.8470768  ,4.4500000  ,1.9594575  ,1.1000000  ,1.2937095  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,4.5828955  ,0.0133767  ,4.1797157  ,0.0131052  ,-0.2940164 ,0.0094710  ,1849.3000000,34.0403785 ,398.9000000,21.7978753 ,90.8000000 ,7.2952760  ,20.3500000 ,6.4258933  ,3.9500000  ,1.6693838  ,0.8500000  ,0.9880869  ,0.0500000  ,0.2236068  ,0          ,0          ,0          ,0          ,
20         ,4.5825360  ,0.0134051  ,4.1779965  ,0.0117529  ,-0.2958961 ,0.0070922  ,1846.1500000,44.1674743 ,395.3000000,20.9161232 ,90.3000000 ,7.0494494  ,18.5500000 ,5.6612719  ,4.9000000  ,2.3819497  ,0.9000000  ,0.9119095  ,0.1500000  ,0.3663475  ,0.1000000  ,0.3077935  ,0.0500000  ,0.2236068  ,
20         ,4.5815518  ,0.0143408  ,4.1748943  ,0.0163684  ,-0.2925614 ,0.0084942  ,1845.0500000,47.6726502 ,392.6000000,17.8779488 ,89.6000000 ,11.2362196 ,20.2500000 ,5.3985866  ,3.5500000  ,1.9861362  ,1.0000000  ,0.7947194  ,0.2000000  ,0.4103913  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
