Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
20         ,4.2380068  ,0.0117643  ,3.8416607  ,0.0129320  ,-0.2931153 ,0.0088635  ,1569.5500000,38.2505246 ,340.8000000,23.1006949 ,79.7500000 ,8.4222450  ,17.2000000 ,3.8058127  ,3.7000000  ,1.8666040  ,0.8500000  ,0.6708204  ,0.1500000  ,0.3663475  ,0.0500000  ,0.2236068  ,
20         ,4.2367598  ,0.0144542  ,3.8441474  ,0.0145970  ,-0.2934682 ,0.0086773  ,1570.4500000,38.2037130 ,344.4500000,18.9305517 ,74.8000000 ,6.5902640  ,16.3000000 ,2.9217875  ,3.9500000  ,1.6693838  ,0.8000000  ,0.6958524  ,0.2500000  ,0.5501196  ,0          ,0          ,
20         ,4.2402460  ,0.0179179  ,3.8414566  ,0.0147857  ,-0.2921153 ,0.0112006  ,1560.8000000,29.8832817 ,334.4000000,15.0136780 ,80.2500000 ,9.1471882  ,16.6500000 ,3.3759989  ,4.1000000  ,2.0235456  ,0.6000000  ,0.6805570  ,0.2500000  ,0.4442617  ,0          ,0          ,
20         ,4.2401458  ,0.0114082  ,3.8380088  ,0.0135259  ,-0.2976366 ,0.0083703  ,1561.3500000,40.0687239 ,335.5500000,14.7950027 ,75.0000000 ,9.3076087  ,16.5500000 ,3.6631163  ,3.4000000  ,1.8750439  ,0.7000000  ,0.8013147  ,0          ,0          ,0          ,0          ,
20         ,4.2383520  ,0.0115281  ,3.8429414  ,0.0140455  ,-0.3005779 ,0.0132154  ,1551.9500000,28.1564707 ,342.2000000,19.1492751 ,78.2000000 ,9.1685963  ,16.5000000 ,4.8177304  ,3.8500000  ,1.9540781  ,0.6000000  ,0.6805570  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,4.2376533  ,0.0157688  ,3.8429203  ,0.0140871  ,-0.2947956 ,0.0098312  ,1567.9500000,27.8066160 ,338.6000000,17.3095654 ,80.1000000 ,10.3613655 ,16.7000000 ,4.9321715  ,3.6000000  ,1.8180383  ,0.9000000  ,1.2096106  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
20         ,4.2354431  ,0.0143187  ,3.8405912  ,0.0191436  ,-0.2945345 ,0.0101527  ,1566.6000000,33.0141915 ,333.8000000,20.1614536 ,73.7500000 ,7.2393297  ,16.9000000 ,3.6977945  ,3.7500000  ,1.8883298  ,0.9000000  ,0.9119095  ,0.2000000  ,0.4103913  ,0.0500000  ,0.2236068  ,
20         ,4.2404214  ,0.0190905  ,3.8404561  ,0.0152861  ,-0.2923576 ,0.0085560  ,1561.7000000,31.1618863 ,331.5500000,14.1662126 ,74.4500000 ,7.5077153  ,15.6000000 ,3.6186651  ,2.9000000  ,1.1652874  ,0.7500000  ,0.8506963  ,0.1000000  ,0.3077935  ,0.0500000  ,0.2236068  ,
20         ,4.2387396  ,0.0159012  ,3.8398397  ,0.0162869  ,-0.2949297 ,0.0079453  ,1580.1000000,36.3924515 ,334.0500000,14.9612658 ,76.6500000 ,7.4429408  ,16.6500000 ,4.3075821  ,2.7500000  ,2.1490512  ,0.5000000  ,0.7608859  ,0.3000000  ,0.5712406  ,0          ,0          ,
20         ,4.2340566  ,0.0113477  ,3.8416986  ,0.0174008  ,-0.2939755 ,0.0131367  ,1554.2500000,32.4424592 ,337.3500000,17.5926869 ,79.7500000 ,9.4916861  ,16.6000000 ,4.7616892  ,4.3000000  ,1.8093325  ,0.7500000  ,0.7163504  ,0.1000000  ,0.3077935  ,0.0500000  ,0.2236068  ,
