Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
20         ,4.7621350  ,0.0163376  ,4.3545559  ,0.0141175  ,-0.2947133 ,0.0080804  ,1998.9500000,31.4934830 ,426.5500000,16.5576346 ,99.1000000 ,13.2024719 ,21.6000000 ,4.4885820  ,4.1500000  ,1.8994459  ,1.0000000  ,0.8583951  ,0.2000000  ,0.5231484  ,0          ,0          ,0          ,0          ,
10         ,4.7576840  ,0.0098658  ,4.3571279  ,0.0128444  ,-0.2953919 ,0.0089609  ,1993.5000000,46.7362576 ,425.7000000,5.9451194  ,98.4000000 ,7.0427267  ,21.3000000 ,5.0782762  ,4.4000000  ,1.7126977  ,0.7000000  ,0.6749486  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,
20         ,4.7599698  ,0.0117153  ,4.3597398  ,0.0134692  ,-0.2983699 ,0.0087160  ,1995.1500000,32.1481357 ,424.6000000,21.1794339 ,93.7500000 ,9.2729090  ,20.0000000 ,3.3560629  ,4.4000000  ,2.0365089  ,0.8500000  ,0.8750940  ,0.1000000  ,0.3077935  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
10         ,4.7607482  ,0.0140249  ,4.3611035  ,0.0134722  ,-0.2947613 ,0.0065776  ,1999.7000000,36.1541453 ,417.4000000,24.6675676 ,98.1000000 ,10.3971150 ,24.1000000 ,4.9766120  ,4.4000000  ,1.8378732  ,0.9000000  ,0.8755950  ,0.2000000  ,0.4216370  ,0          ,0          ,0          ,0          ,
10         ,4.7535140  ,0.0089722  ,4.3569550  ,0.0143526  ,-0.2914603 ,0.0095878  ,1981.3000000,33.5627108 ,432.7000000,20.8649094 ,93.0000000 ,9.1043335  ,22.8000000 ,4.9620784  ,4.4000000  ,1.6465452  ,1.4000000  ,1.5776213  ,0.2000000  ,0.4216370  ,0          ,0          ,0          ,0          ,
10         ,4.7633012  ,0.0138155  ,4.3592885  ,0.0118363  ,-0.3009994 ,0.0107826  ,2001.2000000,34.6980627 ,421.1000000,19.0172436 ,97.0000000 ,9.4044907  ,23.6000000 ,4.3767060  ,4.5000000  ,2.2236107  ,0.7000000  ,1.0593499  ,0.4000000  ,0.6992059  ,0          ,0          ,0          ,0          ,
10         ,4.7578730  ,0.0155698  ,4.3599026  ,0.0158312  ,-0.2980602 ,0.0105798  ,1982.3000000,27.2113130 ,432.8000000,15.3753049 ,100.4000000,11.8995798 ,23.2000000 ,3.3266600  ,4.4000000  ,2.0110804  ,1.0000000  ,1.0540926  ,0          ,0          ,0          ,0          ,0          ,0          ,
10         ,4.7555506  ,0.0210698  ,4.3611364  ,0.0079249  ,-0.3018879 ,0.0154566  ,1981.5000000,38.6874944 ,430.2000000,12.6033505 ,98.0000000 ,10.8012345 ,21.1000000 ,4.3063261  ,5.1000000  ,2.0789955  ,0.7000000  ,1.0593499  ,0.2000000  ,0.6324555  ,0          ,0          ,0          ,0          ,
20         ,4.7584900  ,0.0153782  ,4.3601382  ,0.0125103  ,-0.2965252 ,0.0103300  ,1999.4500000,45.3970495 ,434.7500000,18.2925783 ,97.6500000 ,8.1710336  ,20.7000000 ,4.2065112  ,4.5500000  ,2.5644328  ,1.1000000  ,1.2523662  ,0.2500000  ,0.4442617  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,
