Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
25         ,3.6318549  ,0.0138342  ,3.2466920  ,0.0132335  ,-0.2932177 ,0.0074620  ,1137.8400000,30.8392066 ,245.0800000,16.5653252 ,56.0800000 ,8.4897978  ,13.0400000 ,3.0751694  ,2.8000000  ,1.4719601  ,0.5600000  ,0.7118052  ,0.2800000  ,0.5416026  ,0.0400000  ,0.2000000  ,
25         ,3.6330443  ,0.0136526  ,3.2441762  ,0.0149306  ,-0.2921267 ,0.0108756  ,1134.0800000,30.5994553 ,246.2800000,16.8560573 ,56.1600000 ,7.6631151  ,11.8800000 ,2.7282473  ,2.2800000  ,1.7916473  ,0.6000000  ,0.9128709  ,0.1600000  ,0.3741657  ,0          ,0          ,
25         ,3.6311940  ,0.0151141  ,3.2452518  ,0.0149465  ,-0.2910113 ,0.0089929  ,1131.6000000,30.7286511 ,246.0000000,16.0805265 ,57.6400000 ,7.3873766  ,12.5200000 ,4.0632499  ,2.2400000  ,1.6653328  ,0.8000000  ,0.6454972  ,0.0800000  ,0.2768875  ,0          ,0          ,
25         ,3.6322394  ,0.0124117  ,3.2468266  ,0.0139991  ,-0.2932088 ,0.0100222  ,1127.6400000,26.5060999 ,246.2000000,13.8684294 ,54.8000000 ,7.8049130  ,13.1200000 ,3.3331667  ,2.6800000  ,1.5737429  ,0.7600000  ,1.0519823  ,0.0800000  ,0.2768875  ,0.0400000  ,0.2000000  ,
25         ,3.6390506  ,0.0204534  ,3.2430994  ,0.0124609  ,-0.2914053 ,0.0090691  ,1131.4800000,40.7166223 ,242.8800000,13.8934037 ,57.9200000 ,6.1367744  ,11.8000000 ,2.5331140  ,2.8000000  ,1.6583124  ,0.5600000  ,0.6506407  ,0.0000000  ,0.0000000  ,0.0800000  ,0.2768875  ,
25         ,3.6387463  ,0.0145876  ,3.2452615  ,0.0166823  ,-0.2915976 ,0.0094907  ,1129.8400000,31.8625695 ,248.4000000,13.7325647 ,52.4400000 ,6.8561408  ,12.8800000 ,4.3332051  ,2.9200000  ,1.4410644  ,0.3200000  ,0.6904105  ,0.0800000  ,0.2768875  ,0.0400000  ,0.2000000  ,
25         ,3.6321922  ,0.0142369  ,3.2464272  ,0.0126974  ,-0.2933074 ,0.0089265  ,1126.1600000,39.3845147 ,247.8400000,14.3546740 ,54.0000000 ,8.6023253  ,13.0000000 ,4.8562674  ,2.5600000  ,1.1930353  ,0.3600000  ,0.5686241  ,0.0800000  ,0.2768875  ,0          ,0          ,
25         ,3.6365518  ,0.0203093  ,3.2431285  ,0.0153577  ,-0.2903810 ,0.0093231  ,1139.5600000,37.0271072 ,239.7200000,10.2693719 ,57.7200000 ,6.6865537  ,12.5200000 ,3.4895081  ,2.4800000  ,1.5307950  ,0.3600000  ,0.4898979  ,0.1600000  ,0.3741657  ,0.0800000  ,0.2768875  ,
