Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,      10avg,      10std,     
10         ,4.0272718  ,0.0202040  ,3.6196171  ,0.0109206  ,-0.2877062 ,0.0049192  ,1401.9000000,51.2216317 ,306.4000000,26.1669851 ,70.6000000 ,9.7547709  ,15.7000000 ,3.9171985  ,2.6000000  ,1.7126977  ,0.7000000  ,0.8232726  ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,
40         ,4.0186441  ,0.0168284  ,3.6212886  ,0.0149533  ,-0.2941719 ,0.0090884  ,1400.9750000,34.7027580 ,300.6750000,14.6521855 ,68.2750000 ,7.2641992  ,14.9250000 ,3.8054448  ,3.1000000  ,1.7657714  ,0.5500000  ,0.8149249  ,0.1000000  ,0.3038218  ,0          ,0          ,0          ,0          ,0          ,0          ,
40         ,4.0151198  ,0.0141678  ,3.6204008  ,0.0145254  ,-0.2967265 ,0.0089579  ,1400.3750000,32.5282422 ,304.9750000,12.7470208 ,68.3750000 ,9.9400446  ,15.6250000 ,4.2104114  ,3.6750000  ,1.9267017  ,0.4750000  ,0.5986095  ,0.1500000  ,0.4266747  ,0.0250000  ,0.1581139  ,0.0000000  ,0.0000000  ,0.0250000  ,0.1581139  ,
10         ,4.0138095  ,0.0160157  ,3.6248352  ,0.0104647  ,-0.2934631 ,0.0094140  ,1390.0000000,44.1990447 ,304.2000000,9.3428523  ,72.2000000 ,7.3906848  ,15.8000000 ,3.0110906  ,3.4000000  ,1.6465452  ,0.6000000  ,0.6992059  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,0          ,0          ,
25         ,4.0114422  ,0.0154249  ,3.6281328  ,0.0135673  ,-0.2924450 ,0.0075605  ,1397.4400000,27.2000000 ,298.7600000,20.3803009 ,69.0000000 ,8.3566341  ,15.2000000 ,3.8622101  ,3.2800000  ,1.6462078  ,0.4400000  ,0.5830952  ,0.1200000  ,0.4396969  ,0          ,0          ,0          ,0          ,0          ,0          ,
25         ,4.0180666  ,0.0132532  ,3.6237783  ,0.0129798  ,-0.2922265 ,0.0086965  ,1397.0400000,31.1882456 ,299.5600000,19.0855093 ,70.8000000 ,7.1414284  ,15.3200000 ,3.0784195  ,2.9600000  ,1.5937377  ,0.5600000  ,0.7681146  ,0.1200000  ,0.3316625  ,0.0400000  ,0.2000000  ,0          ,0          ,0          ,0          ,
25         ,4.0180721  ,0.0138408  ,3.6188925  ,0.0208367  ,-0.2921677 ,0.0104111  ,1396.9600000,34.1997563 ,304.9600000,13.8908843 ,64.1600000 ,8.0967071  ,14.9600000 ,3.9631637  ,2.6400000  ,1.3503086  ,0.5200000  ,0.5859465  ,0.1600000  ,0.3741657  ,0          ,0          ,0          ,0          ,0          ,0          ,
25         ,4.0143008  ,0.0160716  ,3.6181880  ,0.0155428  ,-0.2910524 ,0.0083973  ,1404.8800000,32.8371233 ,294.7200000,18.2814113 ,68.1200000 ,11.3222495 ,15.2000000 ,4.0926764  ,3.0800000  ,2.0190757  ,0.9600000  ,1.0198039  ,0.0800000  ,0.2768875  ,0          ,0          ,0          ,0          ,0          ,0          ,
