Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
10         ,6.9640803  ,0.0141990  ,6.5440308  ,0.0089677  ,-0.3022551 ,0.0104208  ,4378.6000000,43.2440105 ,906.1000000,35.8839178 ,212.7000000,14.5758552 ,44.7000000 ,4.6439925  ,11.1000000 ,5.0210667  ,1.7000000  ,1.4944341  ,0.4000000  ,0.5163978  ,0          ,0          ,0          ,0          ,
20         ,6.9594883  ,0.0125379  ,6.5358909  ,0.0120685  ,-0.3007710 ,0.0088466  ,4354.3500000,57.3082845 ,921.7500000,33.7636912 ,215.2000000,15.5177318 ,48.7500000 ,5.6742725  ,8.6000000  ,2.7414940  ,1.4000000  ,1.3138934  ,0.4000000  ,0.5026247  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,6.9611858  ,0.0129396  ,6.5413557  ,0.0117746  ,-0.3023894 ,0.0085154  ,4368.3000000,59.5050639 ,922.8500000,26.3723839 ,211.7000000,15.5668338 ,44.7500000 ,6.9044227  ,8.6000000  ,1.9841477  ,1.6500000  ,1.2680279  ,0.6500000  ,0.8750940  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,6.9622876  ,0.0194943  ,6.5410053  ,0.0122856  ,-0.3011973 ,0.0094060  ,4349.1000000,70.0855868 ,931.7500000,21.5305780 ,208.1500000,12.0099739 ,46.1500000 ,6.1153388  ,8.3500000  ,3.3759989  ,2.2000000  ,1.5078741  ,0.1000000  ,0.3077935  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,6.9596775  ,0.0119678  ,6.5385533  ,0.0127640  ,-0.2987496 ,0.0075130  ,4358.2500000,60.2109231 ,933.2000000,21.1699887 ,212.6500000,13.3466929 ,45.4500000 ,6.1513798  ,9.2000000  ,3.1051740  ,1.8500000  ,1.3484884  ,0.3000000  ,0.5712406  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.9638286  ,0.0140902  ,6.5394583  ,0.0108193  ,-0.3014041 ,0.0065394  ,4356.1000000,46.9118995 ,929.7000000,38.4531157 ,210.1000000,13.9128869 ,47.1000000 ,5.2002024  ,8.9500000  ,2.3725403  ,2.0500000  ,1.8771479  ,0.4500000  ,0.6048053  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,
20         ,6.9577273  ,0.0102019  ,6.5396677  ,0.0184797  ,-0.3049980 ,0.0098536  ,4349.2000000,64.5760262 ,929.9500000,25.1364173 ,207.3500000,15.9415875 ,45.4000000 ,7.7009911  ,9.7000000  ,3.1136372  ,1.6500000  ,1.5652476  ,0.4500000  ,0.8255779  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.9611860  ,0.0117526  ,6.5378465  ,0.0107972  ,-0.3031247 ,0.0079846  ,4382.2000000,62.1709020 ,924.5000000,35.3650139 ,209.5000000,16.9845131 ,45.3000000 ,6.6261047  ,10.0500000 ,3.7201443  ,1.9500000  ,1.1459310  ,0.3500000  ,0.7451598  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.9609296  ,0.0127958  ,6.5433234  ,0.0167172  ,-0.3052910 ,0.0091171  ,4361.3000000,41.9022672 ,925.1500000,22.4904073 ,213.4000000,11.7132404 ,45.3000000 ,6.4977729  ,10.9000000 ,3.4012382  ,2.2000000  ,1.0563094  ,0.4000000  ,0.6805570  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,
20         ,6.9594442  ,0.0130901  ,6.5394691  ,0.0138563  ,-0.2995169 ,0.0054960  ,4368.4500000,64.0751820 ,923.9500000,31.2973431 ,203.8000000,17.7574299 ,46.5000000 ,6.9849462  ,9.3500000  ,2.8887258  ,2.0000000  ,1.4867839  ,0.4500000  ,0.5104178  ,0.2000000  ,0.4103913  ,0          ,0          ,
10         ,6.9589394  ,0.0158044  ,6.5422928  ,0.0200164  ,-0.3081305 ,0.0142999  ,4363.8000000,57.9727906 ,929.0000000,24.8327740 ,212.5000000,12.6249312 ,47.2000000 ,7.3756356  ,10.3000000 ,2.9832868  ,1.4000000  ,1.2649111  ,0.4000000  ,0.5163978  ,0          ,0          ,0          ,0          ,
