Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
20         ,3.7994321  ,0.0158153  ,3.4025268  ,0.0157621  ,-0.2939087 ,0.0104248  ,1251.9500000,32.9616603 ,269.3500000,13.3032446 ,57.7500000 ,10.3967353 ,13.5500000 ,4.2608993  ,3.4500000  ,1.9861362  ,0.5000000  ,0.8271702  ,0.1000000  ,0.3077935  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
20         ,3.7917118  ,0.0158299  ,3.4008359  ,0.0150748  ,-0.2948410 ,0.0107953  ,1237.6000000,36.9528861 ,269.0000000,13.3613740 ,64.8000000 ,9.5894679  ,13.2000000 ,4.5491468  ,2.9500000  ,2.1144864  ,0.5000000  ,0.6069770  ,0.1000000  ,0.4472136  ,0.0        ,0.0        ,0.0        ,0.0        ,
20         ,3.7924586  ,0.0177856  ,3.3964458  ,0.0202245  ,-0.2936567 ,0.0114843  ,1246.3500000,30.4601120 ,265.8000000,17.5157072 ,61.6500000 ,5.9672351  ,12.8500000 ,2.2307657  ,2.9000000  ,1.5525870  ,0.1000000  ,0.3077935  ,0.0        ,0.0        ,0.0        ,0.0        ,0.0        ,0.0        ,
10         ,3.7960407  ,0.0120888  ,3.4045447  ,0.0171848  ,-0.2961713 ,0.0108354  ,1253.7000000,23.6410660 ,271.8000000,14.9205302 ,58.8000000 ,7.8429020  ,13.6000000 ,4.2478753  ,3.9000000  ,1.9119507  ,1.0000000  ,0.8164966  ,0.0        ,0.0        ,0.0        ,0.0        ,0.0        ,0.0        ,
30         ,3.7904481  ,0.0107200  ,3.4038207  ,0.0141665  ,-0.2938356 ,0.0096273  ,1245.3666667,38.8032023 ,267.5000000,15.9130179 ,60.0333333 ,8.9807585  ,13.3000000 ,3.7152992  ,2.5333333  ,1.8332811  ,0.6000000  ,0.7239737  ,0.2333333  ,0.4301831  ,0.0        ,0.0        ,0.0        ,0.0        ,
25         ,3.7960623  ,0.0177874  ,3.4026918  ,0.0228912  ,-0.2958335 ,0.0124839  ,1247.0000000,26.5722286 ,270.0400000,16.4379642 ,60.6800000 ,8.2599435  ,13.8800000 ,3.4918954  ,2.7600000  ,1.5885003  ,0.7600000  ,0.8793937  ,0.0400000  ,0.2000000  ,0.0400000  ,0.2000000  ,0          ,0          ,
25         ,3.7931374  ,0.0127090  ,3.4028426  ,0.0154776  ,-0.2923274 ,0.0100318  ,1250.7600000,32.6589447 ,263.9600000,14.9735322 ,57.9600000 ,6.4966658  ,12.9600000 ,3.1421861  ,2.6000000  ,1.7078251  ,0.5600000  ,0.7118052  ,0.1200000  ,0.3316625  ,0          ,0          ,0          ,0          ,
25         ,3.7944655  ,0.0152821  ,3.3968527  ,0.0186021  ,-0.2939605 ,0.0090657  ,1244.6000000,33.3953590 ,267.3600000,17.5994318 ,62.1200000 ,8.1563881  ,14.4400000 ,4.3212652  ,3.3200000  ,1.4059398  ,0.5600000  ,0.6506407  ,0.1200000  ,0.3316625  ,0.0400000  ,0.2000000  ,0          ,0          ,
25         ,3.7921666  ,0.0152620  ,3.3989307  ,0.0178468  ,-0.2982168 ,0.0133291  ,1239.1600000,28.9420110 ,269.3600000,14.5913216 ,61.5600000 ,9.0373300  ,14.1600000 ,4.2000000  ,2.8000000  ,2.0615528  ,0.6400000  ,0.7000000  ,0.2000000  ,0.5000000  ,0          ,0          ,0          ,0          ,
