Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
20         ,4.6347297  ,0.0142348  ,4.2426221  ,0.0117551  ,-0.2960010 ,0.0090920  ,1882.3500000,38.2557529 ,401.5500000,15.8628165 ,91.4000000 ,9.4166705  ,19.5000000 ,4.8177304  ,4.0000000  ,1.6858545  ,1.2000000  ,1.3218806  ,0.2500000  ,0.5501196  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,4.6418688  ,0.0132448  ,4.2348154  ,0.0151208  ,-0.2953799 ,0.0094245  ,1890.2500000,33.5964832 ,397.8500000,24.8008383 ,91.4500000 ,12.2537857 ,21.0000000 ,4.6453146  ,4.1000000  ,2.3147127  ,1.1000000  ,1.2523662  ,0.1500000  ,0.3663475  ,0          ,0          ,0          ,0          ,
20         ,4.6387414  ,0.0144575  ,4.2311908  ,0.0186142  ,-0.2943463 ,0.0100031  ,1903.3000000,49.7182589 ,409.6000000,22.0797597 ,90.3500000 ,12.9422808 ,20.7500000 ,6.9952992  ,5.4000000  ,2.3708759  ,0.6500000  ,0.7451598  ,0.2500000  ,0.5501196  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,4.6456058  ,0.0197729  ,4.2413036  ,0.0121034  ,-0.2970092 ,0.0090790  ,1888.6000000,40.1069623 ,407.6000000,16.8909817 ,91.3500000 ,9.5326309  ,21.9500000 ,5.5485892  ,4.5000000  ,1.9056702  ,1.0500000  ,0.9986833  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,4.6443380  ,0.0194816  ,4.2391386  ,0.0163025  ,-0.2930591 ,0.0096050  ,1890.8500000,36.5675654 ,402.3500000,17.5237433 ,92.2500000 ,8.2645406  ,20.8000000 ,4.2002506  ,4.6000000  ,2.0621910  ,0.5500000  ,0.8255779  ,0.0500000  ,0.2236068  ,0          ,0          ,0          ,0          ,
20         ,4.6437295  ,0.0132024  ,4.2405585  ,0.0135138  ,-0.2963382 ,0.0089580  ,1896.2500000,36.4877413 ,405.2000000,16.3951212 ,90.2500000 ,7.5315127  ,19.8500000 ,4.6143369  ,3.8000000  ,2.4836306  ,0.5000000  ,0.6069770  ,0.2000000  ,0.4103913  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,4.6438027  ,0.0157175  ,4.2393316  ,0.0130086  ,-0.2968174 ,0.0105291  ,1889.4000000,43.6485968 ,404.4000000,23.5269163 ,89.3500000 ,7.1544980  ,19.6500000 ,3.2811263  ,4.5000000  ,1.6701718  ,0.9500000  ,0.8870412  ,0.2000000  ,0.4103913  ,0.2000000  ,0.5231484  ,0          ,0          ,
30         ,4.6369270  ,0.0100351  ,4.2361568  ,0.0171368  ,-0.2939673 ,0.0072034  ,1894.0666667,40.4593737 ,404.9000000,15.7794060 ,91.7000000 ,10.0418092 ,19.2000000 ,4.5364425  ,4.3333333  ,1.8445321  ,0.9000000  ,1.0618786  ,0.2333333  ,0.4301831  ,0.0333333  ,0.1825742  ,0.0333333  ,0.1825742  ,
