Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,      10avg,      10std,      11avg,      11std,     
20         ,6.4396791  ,0.0135423  ,6.0209230  ,0.0156430  ,-0.2963372 ,0.0068145  ,3725.4000000,46.7033189 ,795.1000000,30.0331396 ,173.9500000,14.6340447 ,36.7500000 ,7.3260530  ,8.0500000  ,2.6650763  ,1.7500000  ,1.2513151  ,0.2000000  ,0.4103913  ,0.0500000  ,0.2236068  ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.4349379  ,0.0123119  ,6.0218168  ,0.0097392  ,-0.2985976 ,0.0064614  ,3725.9000000,52.8183581 ,792.0000000,27.4091802 ,182.9000000,17.0414356 ,40.8500000 ,6.1239392  ,9.0500000  ,2.7429335  ,1.5000000  ,1.1470787  ,0.1500000  ,0.3663475  ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.4410321  ,0.0165570  ,6.0224215  ,0.0101096  ,-0.3028496 ,0.0104534  ,3719.4000000,34.1904881 ,802.6500000,30.6221024 ,176.4500000,13.1648455 ,37.7000000 ,4.4733127  ,9.1500000  ,3.5876249  ,1.8500000  ,1.1367081  ,0.2000000  ,0.4103913  ,0.1500000  ,0.3663475  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.4415172  ,0.0103732  ,6.0229154  ,0.0140121  ,-0.3012519 ,0.0069972  ,3718.8000000,57.0988063 ,792.7000000,29.1621601 ,180.5000000,17.1018620 ,39.8000000 ,4.9905173  ,8.1500000  ,3.6458340  ,1.8000000  ,1.7044833  ,0.1000000  ,0.3077935  ,0.0500000  ,0.2236068  ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.4377073  ,0.0136423  ,6.0209360  ,0.0147493  ,-0.2993397 ,0.0074679  ,3713.4500000,58.9089172 ,799.7500000,31.3433868 ,176.3500000,14.6907597 ,37.2000000 ,5.8543731  ,8.1000000  ,2.2454633  ,1.6000000  ,0.7539370  ,0.2500000  ,0.4442617  ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.4346869  ,0.0125349  ,6.0207318  ,0.0143307  ,-0.3010384 ,0.0115453  ,3705.9000000,49.9503964 ,799.1500000,17.1011696 ,183.5500000,12.5759796 ,38.8500000 ,6.5876679  ,8.6500000  ,2.7003898  ,1.4000000  ,0.9947229  ,0.2000000  ,0.4103913  ,0.0500000  ,0.2236068  ,0.0000000  ,0.0000000  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
20         ,6.4409648  ,0.0104812  ,6.0215670  ,0.0140028  ,-0.3012103 ,0.0103930  ,3688.7500000,50.9601237 ,794.7000000,28.0396336 ,175.1500000,10.0486972 ,39.2500000 ,5.1898180  ,7.8000000  ,2.3078812  ,1.8500000  ,1.3869694  ,0.1500000  ,0.3663475  ,0.1000000  ,0.3077935  ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.4340269  ,0.0132235  ,6.0232132  ,0.0102409  ,-0.2967170 ,0.0083326  ,3725.3000000,62.1789438 ,788.9500000,30.5570648 ,177.4000000,12.4537037 ,37.8000000 ,6.6617526  ,7.7000000  ,2.9929742  ,1.4500000  ,1.3945382  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.4325118  ,0.0124839  ,6.0208267  ,0.0161136  ,-0.3019396 ,0.0088438  ,3710.9500000,45.1401035 ,786.5000000,31.8111202 ,176.0500000,12.7917531 ,38.1500000 ,5.7333282  ,8.7000000  ,3.1304952  ,1.5000000  ,1.1002392  ,0.4000000  ,0.5982430  ,0.1500000  ,0.3663475  ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.4363528  ,0.0135335  ,6.0144715  ,0.0161528  ,-0.3014751 ,0.0088498  ,3726.7000000,50.6246248 ,780.3500000,17.8952361 ,177.7500000,13.8559317 ,37.4500000 ,8.3380864  ,8.3500000  ,1.9540781  ,1.3000000  ,0.8645047  ,0.1500000  ,0.3663475  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,0          ,0          ,0          ,0          ,
