Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
5          ,4.2930032  ,0.0194085  ,3.9077757  ,0.0088940  ,-0.3010788 ,0.0087018  ,1621.8000000,37.3456825 ,341.6000000,26.6139061 ,76.8000000 ,3.7682887  ,15.4000000 ,1.8165902  ,3.0000000  ,1.7320508  ,1.2000000  ,1.3038405  ,0.0000000  ,0.0000000  ,0.2000000  ,0.4472136  ,0          ,0          ,
5          ,4.2949111  ,0.0168499  ,3.8977554  ,0.0169001  ,-0.2952836 ,0.0094464  ,1638.4000000,32.7612576 ,346.4000000,13.6674797 ,79.8000000 ,7.5630682  ,17.8000000 ,4.2071368  ,5.2000000  ,2.2803509  ,0.6000000  ,0.5477226  ,0          ,0          ,0          ,0          ,0          ,0          ,
5          ,4.3016292  ,0.0101905  ,3.9047930  ,0.0211147  ,-0.2952760 ,0.0092886  ,1614.8000000,31.1721029 ,338.8000000,31.1881388 ,82.6000000 ,7.5365775  ,17.8000000 ,1.7888544  ,4.4000000  ,0.8944272  ,0.4000000  ,0.5477226  ,0.0000000  ,0.0000000  ,0.0000000  ,0.0000000  ,0.2000000  ,0.4472136  ,
15         ,4.3088778  ,0.0208285  ,3.8971439  ,0.0158026  ,-0.2984577 ,0.0071791  ,1609.2666667,31.3584499 ,342.2666667,16.9303897 ,80.4666667 ,8.3226598  ,16.2666667 ,4.9203175  ,3.8666667  ,2.5597619  ,0.9333333  ,0.7037316  ,0.1333333  ,0.3518658  ,0.0666667  ,0.2581989  ,0          ,0          ,
15         ,4.2923150  ,0.0106986  ,3.8994138  ,0.0195292  ,-0.2952986 ,0.0124809  ,1620.0666667,30.7860513 ,349.4000000,16.1722867 ,78.6000000 ,7.0992957  ,17.8000000 ,2.7825990  ,3.8666667  ,1.3557637  ,0.7333333  ,0.7988086  ,0.1333333  ,0.3518658  ,0.0000000  ,0.0000000  ,0.0666667  ,0.2581989  ,
10         ,4.3000342  ,0.0165525  ,3.8991459  ,0.0151865  ,-0.2953400 ,0.0082010  ,1605.9000000,35.7256522 ,349.0000000,22.5979350 ,75.2000000 ,5.9029183  ,16.6000000 ,4.9035135  ,4.1000000  ,1.9119507  ,0.7000000  ,0.8232726  ,0.3000000  ,0.6749486  ,0          ,0          ,0          ,0          ,
20         ,4.2933455  ,0.0181254  ,3.9028009  ,0.0152139  ,-0.2922766 ,0.0081400  ,1619.8500000,37.7516469 ,337.0000000,13.3574344 ,80.2000000 ,8.0433039  ,17.3000000 ,4.4259997  ,4.1500000  ,2.6011131  ,0.7000000  ,0.8013147  ,0.1000000  ,0.3077935  ,0          ,0          ,0          ,0          ,
5          ,4.3036202  ,0.0262886  ,3.9011726  ,0.0108220  ,-0.2892052 ,0.0073508  ,1580.4000000,33.9455446 ,360.0000000,17.8465683 ,74.0000000 ,4.7958315  ,18.4000000 ,1.1401754  ,5.4000000  ,3.1304952  ,2.0000000  ,1.5811388  ,0          ,0          ,0          ,0          ,0          ,0          ,
10         ,4.2925748  ,0.0101456  ,3.9049574  ,0.0136236  ,-0.2921424 ,0.0074256  ,1604.4000000,47.6146569 ,347.4000000,18.6857046 ,79.1000000 ,7.4004504  ,17.6000000 ,3.7475918  ,4.1000000  ,2.5582112  ,1.0000000  ,0.8164966  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,
10         ,4.2947662  ,0.0112445  ,3.9050146  ,0.0081930  ,-0.2932224 ,0.0073908  ,1610.8000000,40.4798990 ,348.3000000,12.5525562 ,80.2000000 ,10.6957936 ,16.7000000 ,3.7727090  ,3.1000000  ,1.4491377  ,1.2000000  ,1.2292726  ,0          ,0          ,0          ,0          ,0          ,0          ,
