Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
10         ,3.8807152  ,0.0201287  ,3.4842173  ,0.0201372  ,-0.3000087 ,0.0120707  ,1302.3000000,39.3165218 ,272.9000000,19.8463543 ,63.4000000 ,8.9218832  ,15.6000000 ,4.3256342  ,3.1000000  ,1.7288403  ,0.7000000  ,0.6749486  ,0          ,0          ,0          ,0          ,
40         ,3.8738656  ,0.0134033  ,3.4856609  ,0.0159037  ,-0.2928897 ,0.0094362  ,1299.6750000,34.6427833 ,278.3750000,16.9065114 ,63.1500000 ,9.0001424  ,14.5000000 ,3.6794648  ,2.7500000  ,1.8362448  ,0.7000000  ,0.9114654  ,0.0250000  ,0.1581139  ,0.0250000  ,0.1581139  ,
40         ,3.8767751  ,0.0153914  ,3.4851887  ,0.0125960  ,-0.2954139 ,0.0080121  ,1300.8750000,33.6377287 ,281.4500000,14.7855612 ,63.9250000 ,7.6640603  ,15.2250000 ,4.7743304  ,2.9500000  ,1.3194793  ,0.5000000  ,0.6793662  ,0.0750000  ,0.2667468  ,0.0250000  ,0.1581139  ,
10         ,3.8704190  ,0.0207840  ,3.4808336  ,0.0163141  ,-0.2934185 ,0.0110716  ,1307.9000000,33.7851052 ,284.7000000,20.5104310 ,65.0000000 ,6.5828059  ,15.0000000 ,2.7888668  ,3.7000000  ,2.1108187  ,0.8000000  ,0.7888106  ,0.2000000  ,0.4216370  ,0          ,0          ,
25         ,3.8739429  ,0.0122085  ,3.4831490  ,0.0111457  ,-0.2942972 ,0.0091920  ,1296.3600000,31.0616055 ,277.2800000,12.7916640 ,65.3200000 ,8.4198179  ,12.9200000 ,3.0127507  ,2.6800000  ,1.7253019  ,0.7200000  ,0.8426150  ,0.0800000  ,0.4000000  ,0.0400000  ,0.2000000  ,
25         ,3.8790777  ,0.0169113  ,3.4798843  ,0.0179785  ,-0.2931606 ,0.0108064  ,1302.6000000,33.3129104 ,277.9200000,15.2094269 ,63.8000000 ,9.5000000  ,14.2800000 ,3.0621343  ,3.2000000  ,1.9148542  ,0.5600000  ,0.7681146  ,0.1200000  ,0.3316625  ,0          ,0          ,
25         ,3.8778543  ,0.0176481  ,3.4847883  ,0.0159576  ,-0.2935188 ,0.0114220  ,1297.0400000,39.4075712 ,280.3200000,18.9510774 ,65.0400000 ,7.9134906  ,12.8000000 ,3.8188131  ,3.6400000  ,2.0182501  ,0.7600000  ,0.5972158  ,0.0800000  ,0.2768875  ,0          ,0          ,
25         ,3.8729643  ,0.0130399  ,3.4834592  ,0.0161811  ,-0.2936585 ,0.0095221  ,1304.5200000,31.1891007 ,285.8400000,16.0121829 ,63.5600000 ,8.6654486  ,14.7600000 ,3.3326666  ,3.1200000  ,1.9857828  ,0.6800000  ,0.8020806  ,0.0400000  ,0.2000000  ,0          ,0          ,
