Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,
20         ,6.7905436  ,0.0143581  ,6.3742868  ,0.0108532  ,-0.3010855 ,0.0117493  ,4132.3000000,64.7351690 ,878.5000000,29.3858183 ,196.0000000,17.0540935 ,45.1000000 ,6.2061090  ,7.8000000  ,2.3973670  ,1.5000000  ,0.9459053  ,0.3000000  ,0.5712406  ,0          ,0          ,0          ,0          ,
20         ,6.7881788  ,0.0115719  ,6.3764469  ,0.0087590  ,-0.3018135 ,0.0094951  ,4144.8500000,48.9288151 ,889.6500000,20.8560858 ,198.8000000,16.6909998 ,45.2000000 ,5.9964902  ,8.0500000  ,2.1392325  ,1.8000000  ,1.4725560  ,0.5500000  ,0.6048053  ,0.1500000  ,0.3663475  ,0          ,0          ,
20         ,6.7901058  ,0.0116208  ,6.3707875  ,0.0161572  ,-0.2976054 ,0.0106330  ,4148.4500000,52.9979890 ,867.2000000,26.8888551 ,199.7000000,14.7187671 ,45.7500000 ,7.1072609  ,7.9500000  ,2.6252819  ,1.7500000  ,1.1180340  ,0.4000000  ,0.5982430  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.7870408  ,0.0108024  ,6.3743451  ,0.0094133  ,-0.3008211 ,0.0100621  ,4147.5500000,50.0446906 ,881.0000000,29.4832691 ,199.3500000,14.4960067 ,42.2500000 ,6.9272536  ,8.7000000  ,3.1805329  ,1.9000000  ,1.4104870  ,0.2500000  ,0.4442617  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,6.7924814  ,0.0139174  ,6.3751613  ,0.0117724  ,-0.3000331 ,0.0075186  ,4138.6500000,63.2074904 ,879.4500000,28.1097005 ,200.4500000,12.1502653 ,44.9500000 ,7.9701747  ,10.2000000 ,2.6477399  ,1.3500000  ,1.0894228  ,0.1000000  ,0.3077935  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,6.7892603  ,0.0095535  ,6.3718183  ,0.0127345  ,-0.3014280 ,0.0080081  ,4110.6000000,54.4149747 ,883.7000000,26.7819657 ,207.6500000,14.3683680 ,43.0500000 ,6.0304054  ,8.7500000  ,2.6925824  ,1.7500000  ,1.5517393  ,0.3000000  ,0.4701623  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,
20         ,6.7898248  ,0.0166299  ,6.3694665  ,0.0153666  ,-0.2985452 ,0.0052378  ,4145.9500000,60.2813360 ,881.7500000,22.4683989 ,190.5000000,14.2367205 ,45.2000000 ,7.5574989  ,9.8000000  ,3.9014167  ,2.3500000  ,1.1821034  ,0.3500000  ,0.5871429  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.7863744  ,0.0065318  ,6.3709099  ,0.0174830  ,-0.3042744 ,0.0083113  ,4135.6500000,53.8274778 ,874.9500000,33.8797797 ,196.7500000,13.5369864 ,44.7000000 ,6.7597882  ,8.6500000  ,2.7582412  ,1.6500000  ,1.6311120  ,0.7500000  ,0.7163504  ,0.1500000  ,0.3663475  ,0          ,0          ,
