Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
25         ,2.5657574  ,0.0148997  ,2.1974816  ,0.0227630  ,-0.2893304 ,0.0135351  ,545.4400000,18.1132548 ,116.7200000,9.4978945  ,29.1600000 ,4.8104054  ,6.2800000  ,2.3544285  ,1.6400000  ,1.1860298  ,0.4800000  ,0.7141428  ,0.0000000  ,0.0000000  ,0.0400000  ,0.2000000  ,
25         ,2.5613091  ,0.0150270  ,2.2021097  ,0.0160357  ,-0.2861906 ,0.0087577  ,541.5200000,22.5686361 ,122.4800000,8.8464682  ,26.6400000 ,5.1871636  ,5.8800000  ,1.5895492  ,1.5600000  ,1.2274635  ,0.2800000  ,0.4582576  ,0.0400000  ,0.2000000  ,0.0400000  ,0.2000000  ,
25         ,2.5651417  ,0.0132364  ,2.1930065  ,0.0157340  ,-0.2911721 ,0.0116596  ,541.2800000,18.5214290 ,119.6400000,8.0822852  ,29.7600000 ,4.3231933  ,6.0400000  ,2.2075628  ,1.1600000  ,1.1060440  ,0.2000000  ,0.4082483  ,0.0800000  ,0.2768875  ,0          ,0          ,
25         ,2.5649304  ,0.0171590  ,2.1823721  ,0.0169666  ,-0.2837793 ,0.0078283  ,555.6400000,19.8050499 ,114.0400000,9.4889409  ,26.1200000 ,5.3332292  ,6.0000000  ,2.7080128  ,1.1600000  ,1.0279429  ,0.4400000  ,0.8698659  ,0          ,0          ,0          ,0          ,
25         ,2.5601476  ,0.0130728  ,2.1934594  ,0.0173427  ,-0.2857011 ,0.0084489  ,541.2400000,24.4340609 ,120.0800000,11.2172486 ,28.0000000 ,4.3779752  ,5.6000000  ,2.0207259  ,1.4800000  ,1.0456258  ,0.2800000  ,0.4582576  ,0.0400000  ,0.2000000  ,0          ,0          ,
25         ,2.5633803  ,0.0126251  ,2.1967982  ,0.0182064  ,-0.2839802 ,0.0117171  ,550.8400000,16.8910233 ,117.9600000,10.3016180 ,26.6400000 ,6.6700825  ,5.8000000  ,2.3094011  ,1.0800000  ,0.8621678  ,0.2000000  ,0.4082483  ,0.0000000  ,0.0000000  ,0.0400000  ,0.2000000  ,
25         ,2.5586654  ,0.0171698  ,2.1955755  ,0.0119573  ,-0.2850479 ,0.0128408  ,545.2800000,20.5963589 ,119.6000000,12.0899407 ,27.7200000 ,4.7127487  ,5.7200000  ,1.5143756  ,1.4400000  ,1.1210114  ,0.2400000  ,0.5228129  ,0.0400000  ,0.2000000  ,0          ,0          ,
25         ,2.5626739  ,0.0110752  ,2.1985764  ,0.0210542  ,-0.2841087 ,0.0091598  ,531.4400000,20.9763359 ,117.8400000,12.8377049 ,28.0800000 ,4.3003876  ,5.5200000  ,2.4852901  ,1.0000000  ,1.0408330  ,0.4400000  ,0.8205689  ,0          ,0          ,0          ,0          ,
