Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
5          ,4.6944373  ,0.0195078  ,4.2951526  ,0.0118890  ,-0.2914480 ,0.0144779  ,1928.8000000,17.2539850 ,428.0000000,16.2326831 ,98.6000000 ,8.7920419  ,21.4000000 ,4.5055521  ,4.0000000  ,2.5495098  ,0.8000000  ,1.3038405  ,0.2000000  ,0.4472136  ,0          ,0          ,
10         ,4.7030436  ,0.0163671  ,4.2862956  ,0.0213947  ,-0.2969653 ,0.0064161  ,1927.0000000,42.5336468 ,426.4000000,19.0391410 ,93.9000000 ,10.0271853 ,21.3000000 ,4.0290611  ,5.3000000  ,2.8303906  ,1.5000000  ,1.0801234  ,0.3000000  ,0.6749486  ,0.1000000  ,0.3162278  ,
15         ,4.6989016  ,0.0134768  ,4.3026502  ,0.0128669  ,-0.2943200 ,0.0081879  ,1945.6000000,36.6582674 ,427.0666667,14.9736276 ,91.4666667 ,5.6171506  ,19.4000000 ,3.3551666  ,3.5333333  ,1.8847761  ,1.0666667  ,1.2798809  ,0.2000000  ,0.4140393  ,0          ,0          ,
20         ,4.7004012  ,0.0157853  ,4.3001940  ,0.0205214  ,-0.2982887 ,0.0086993  ,1950.7000000,24.4090147 ,412.5000000,26.0979935 ,97.1000000 ,12.0651739 ,21.1500000 ,4.9553267  ,3.9000000  ,2.2687813  ,0.5000000  ,0.8885233  ,0.3000000  ,0.5712406  ,0.0500000  ,0.2236068  ,
10         ,4.6975736  ,0.0174283  ,4.2975206  ,0.0114320  ,-0.2959839 ,0.0103794  ,1947.0000000,30.0850646 ,419.0000000,15.2388393 ,96.3000000 ,10.4355163 ,21.2000000 ,3.1902630  ,3.8000000  ,2.7808871  ,0.9000000  ,0.8755950  ,0.2000000  ,0.4216370  ,0          ,0          ,
20         ,4.7054686  ,0.0126199  ,4.3003480  ,0.0151514  ,-0.2970449 ,0.0073427  ,1951.1000000,32.0918091 ,419.7000000,17.4811176 ,94.6000000 ,8.8579432  ,19.1500000 ,4.5221676  ,3.8000000  ,2.2849623  ,0.5000000  ,0.6069770  ,0.1500000  ,0.3663475  ,0          ,0          ,
10         ,4.7000867  ,0.0227539  ,4.2967339  ,0.0178140  ,-0.2948600 ,0.0140589  ,1931.6000000,66.5886210 ,424.6000000,21.3499935 ,92.6000000 ,11.9647631 ,19.3000000 ,6.3078434  ,4.7000000  ,2.2135944  ,0.6000000  ,0.6992059  ,0.2000000  ,0.4216370  ,0          ,0          ,
10         ,4.7065049  ,0.0144372  ,4.2977384  ,0.0125023  ,-0.2979409 ,0.0071642  ,1934.7000000,36.7424973 ,406.8000000,17.4788761 ,96.9000000 ,7.4453565  ,19.1000000 ,2.7668675  ,3.6000000  ,2.0655911  ,1.1000000  ,0.7378648  ,0.0000000  ,0.0000000  ,0.1000000  ,0.3162278  ,
20         ,4.6984211  ,0.0135381  ,4.3015180  ,0.0129798  ,-0.2956674 ,0.0104202  ,1958.7500000,40.4095807 ,415.6500000,22.3000472 ,94.8000000 ,8.6121090  ,19.6000000 ,3.1187042  ,3.6000000  ,2.0365089  ,1.2000000  ,0.8335088  ,0.0500000  ,0.2236068  ,0          ,0          ,
