Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
5          ,4.4388486  ,0.0124337  ,4.0504512  ,0.0110485  ,-0.2902031 ,0.0048193  ,1729.4000000,38.5395900 ,375.2000000,20.2410474 ,84.2000000 ,9.0388052  ,16.6000000 ,1.1401754  ,2.4000000  ,1.8165902  ,0.8000000  ,0.4472136  ,0.4000000  ,0.8944272  ,0          ,0          ,0          ,0          ,
5          ,4.4471071  ,0.0200155  ,4.0434739  ,0.0109787  ,-0.3000054 ,0.0114712  ,1764.4000000,34.7246310 ,358.6000000,16.9204019 ,81.2000000 ,14.3944434 ,16.4000000 ,3.1304952  ,4.6000000  ,1.1401754  ,0.4000000  ,0.5477226  ,0.2000000  ,0.4472136  ,0          ,0          ,0          ,0          ,
15         ,4.4335100  ,0.0139263  ,4.0415623  ,0.0103980  ,-0.2932248 ,0.0071790  ,1727.0666667,29.4944708 ,371.7333333,21.5455221 ,85.4000000 ,9.8110725  ,18.2666667 ,3.4323392  ,3.7333333  ,1.9073792  ,0.8666667  ,0.8338094  ,0.2666667  ,0.5936168  ,0          ,0          ,0          ,0          ,
15         ,4.4393247  ,0.0186609  ,4.0374544  ,0.0149403  ,-0.2977942 ,0.0118242  ,1727.0000000,35.8688086 ,362.5333333,17.9199277 ,85.0000000 ,8.4515425  ,18.6000000 ,3.1121880  ,3.5333333  ,2.2318047  ,0.6666667  ,0.8164966  ,0          ,0          ,0          ,0          ,0          ,0          ,
10         ,4.4445250  ,0.0129642  ,4.0395197  ,0.0101727  ,-0.3025045 ,0.0121902  ,1731.7000000,51.2055770 ,366.0000000,20.4776301 ,84.2000000 ,8.1213026  ,19.7000000 ,3.1640340  ,3.6000000  ,1.6465452  ,0.8000000  ,1.1352924  ,0.0000000  ,0.0000000  ,0.0000000  ,0.0000000  ,0.1000000  ,0.3162278  ,
20         ,4.4360309  ,0.0130427  ,4.0345074  ,0.0150660  ,-0.2980510 ,0.0134149  ,1731.9500000,34.3778922 ,368.1000000,14.6031720 ,85.9000000 ,8.1363382  ,19.8500000 ,4.5569496  ,3.9500000  ,2.2820812  ,1.0000000  ,1.1239030  ,0.2000000  ,0.4103913  ,0.1500000  ,0.4893605  ,0          ,0          ,
10         ,4.4396302  ,0.0127573  ,4.0469082  ,0.0092223  ,-0.2973430 ,0.0093925  ,1738.4000000,26.4373473 ,365.4000000,19.1032283 ,87.5000000 ,10.3949774 ,19.2000000 ,4.0770360  ,4.0000000  ,1.4907120  ,0.6000000  ,0.6992059  ,0.3000000  ,0.6749486  ,0.1000000  ,0.3162278  ,0          ,0          ,
20         ,4.4363576  ,0.0171838  ,4.0439223  ,0.0116969  ,-0.2951034 ,0.0081702  ,1708.9000000,33.7028813 ,369.8500000,17.0240542 ,84.9000000 ,6.7660141  ,20.2500000 ,4.7889676  ,3.4500000  ,1.8202082  ,0.7500000  ,0.8506963  ,0.1500000  ,0.4893605  ,0          ,0          ,0          ,0          ,
20         ,4.4399603  ,0.0132768  ,4.0348828  ,0.0153450  ,-0.2969442 ,0.0090164  ,1724.7000000,35.6770603 ,361.8000000,17.6742453 ,85.6500000 ,11.0371383 ,17.7500000 ,5.6089684  ,3.3500000  ,2.0589982  ,0.5500000  ,0.8255779  ,0.1000000  ,0.3077935  ,0          ,0          ,0          ,0          ,
20         ,4.4341573  ,0.0098406  ,4.0396572  ,0.0157393  ,-0.2961473 ,0.0097562  ,1730.2000000,43.8113179 ,368.7000000,21.3642594 ,84.1500000 ,9.2296718  ,17.8000000 ,3.1388902  ,3.8000000  ,1.7350868  ,0.8500000  ,0.8750940  ,0.2500000  ,0.4442617  ,0.1000000  ,0.3077935  ,0          ,0          ,
30         ,4.4372664  ,0.0134721  ,4.0369644  ,0.0176714  ,-0.2969132 ,0.0088241  ,1726.5333333,38.8771126 ,372.0000000,15.2066229 ,84.1333333 ,7.4358560  ,19.6666667 ,4.0286332  ,3.9333333  ,1.7207323  ,0.8000000  ,0.8866831  ,0.1000000  ,0.3051286  ,0          ,0          ,0          ,0          ,
30         ,4.4376570  ,0.0131337  ,4.0449972  ,0.0109711  ,-0.2951471 ,0.0098650  ,1721.8666667,40.1743900 ,370.5333333,22.4802340 ,82.8333333 ,10.1746247 ,17.9000000 ,4.2778499  ,4.2666667  ,2.4904415  ,0.6666667  ,1.0283342  ,0.1000000  ,0.3051286  ,0          ,0          ,0          ,0          ,
